variance,skewness,curtosis,entropy,class
-3.8953,4.0392,-0.3019,-2.1836,1.0
-1.0802,2.1996,-2.5862,-1.2759,1.0
0.98296,3.4226,-3.9692,-1.7116,1.0
4.7114,2.0755,-0.2702,1.2379,0.0
-0.016103,9.7484,0.15394,-1.6134,0.0
4.2164,9.4607,-4.9288,-5.2366,0.0
3.1088,3.1122,0.80857,0.4336,0.0
-2.3221,-9.3304,9.233,-0.79871,1.0
-0.78289,11.3603,-0.37644,-7.0495,0.0
3.9121,2.9735,0.92852,0.60558,0.0
-3.9698,3.6812,-0.60008,-4.0133,1.0
-3.8483,-12.8047,15.6824,-1.281,1.0
-0.65767,-2.8018,3.7115,0.99739,1.0
-0.52645,-0.24832,-0.45613,0.41938,1.0
2.5698,-4.4076,5.9856,0.078002,0.0
0.16358,-3.3584,1.3749,1.3569,1.0
2.4012,1.6223,3.0312,0.71679,0.0
3.0009,5.8126,-2.2306,-0.66553,0.0
-0.56877,1.4174,-1.4252,-1.1246,1.0
0.47368,3.3605,-4.5064,-4.0431,1.0
1.0652,8.3682,-1.4004,-1.6509,0.0
-4.5531,-12.5854,15.4417,-1.4983,1.0
-0.048008,-1.6037,8.4756,0.75558,0.0
0.74067,1.7299,-3.1963,-0.1457,1.0
3.3951,1.1484,2.1401,2.0862,0.0
3.8832,6.4023,-2.432,-0.98363,0.0
4.3937,0.35798,2.0416,1.2004,0.0
-1.8969,-6.7893,5.2761,-0.32544,1.0
0.31803,-0.99326,1.0947,0.88619,1.0
3.5152,6.8224,-0.67377,-0.46898,0.0
3.3669,-5.1856,3.6935,-1.1427,0.0
1.5799,-4.7076,7.9186,-1.5487,0.0
-1.3414,-1.9162,-0.15538,-0.11984,1.0
1.8664,7.7763,-0.23849,-2.9634,0.0
3.4663,1.1112,1.7425,1.3388,0.0
-5.4901,9.1048,-0.38758,-5.9763,1.0
1.8993,7.6625,0.15394,-3.1108,0.0
3.6894,9.887,-4.0788,-4.3664,0.0
4.0552,-2.4583,2.2806,1.0323,0.0
-0.2361,9.3221,2.1307,-4.3793,0.0
-1.8974,3.5074,-1.7842,-3.8491,1.0
3.7731,7.2073,-1.6814,-0.94742,0.0
-0.26654,-0.64562,-0.42014,0.89136,1.0
5.591,10.4643,-4.3839,-4.3379,0.0
0.5706,-0.0248,1.2421,-0.5621,0.0
-1.2244,1.7485,-1.4801,-1.4181,1.0
4.0932,5.4132,-1.8219,0.23576,0.0
3.5594,1.3078,1.291,1.6556,0.0
-0.21661,8.0329,1.8848,-3.8853,0.0
5.2418,10.5388,-4.1174,-4.2797,0.0
5.4188,10.1457,-4.084,-3.6991,0.0
4.1349,6.1189,-2.4294,-0.19613,0.0
-0.49948,1.7734,-2.2469,-0.68104,1.0
-2.902,-7.6563,11.8318,-0.84268,1.0
1.7317,-0.34765,4.1905,-0.99138,0.0
4.364,-3.1039,2.3757,0.78532,0.0
3.5127,2.9073,1.0579,0.40774,0.0
5.504,10.3671,-4.413,-4.0211,0.0
-0.2062,9.2207,-3.7044,-6.8103,0.0
-0.8734,-0.033118,-0.20165,0.55774,1.0
2.0177,1.7982,-2.9581,0.2099,1.0
-0.36038,4.1158,3.1143,-0.37199,0.0
-2.0529,3.8385,-0.79544,-1.2138,1.0
5.2756,0.13863,0.12138,1.1435,0.0
3.884,10.0277,-3.9298,-4.0819,0.0
-1.8046,-6.8141,6.7019,1.1681,1.0
0.64295,7.1018,0.3493,-0.41337,0.0
4.4549,2.4976,1.0313,0.96894,0.0
-2.4824,-7.3046,6.839,-0.59053,1.0
2.2928,9.0386,-3.2417,-1.2991,0.0
1.8216,-6.4748,8.0514,-0.41855,0.0
4.8278,7.7598,-2.4491,-1.2216,0.0
-3.1158,-8.6289,10.4403,0.97153,1.0
-4.2333,4.9166,-0.49212,-5.3207,1.0
-0.77995,3.2322,-3.282,-3.1004,1.0
-1.7781,0.8546,7.1303,0.027572,0.0
-2.286,-5.4484,5.8039,0.88231,1.0
-3.7573,-8.2916,10.3032,0.38059,1.0
-1.8782,-6.5865,4.8486,-0.021566,1.0
5.0429,-0.52974,0.50439,1.106,0.0
-2.1786,-6.4479,6.0344,-0.20777,1.0
-1.682,-6.8121,7.1398,1.3323,1.0
-2.9138,-9.4711,9.7668,-0.60216,1.0
4.9852,8.3516,-2.5425,-1.2823,0.0
-2.4458,1.6285,-0.88541,-1.4802,1.0
4.9294,0.27727,0.20792,0.33662,0.0
3.757,-5.4236,3.8255,-1.2526,0.0
-3.1273,-7.1121,11.3897,-0.083634,1.0
2.9742,8.96,-2.9024,-1.0379,0.0
3.7352,9.5911,-3.9032,-3.3487,0.0
4.3684,9.6718,-3.9606,-3.1625,0.0
-4.8554,-5.9037,10.9818,-0.82199,1.0
4.7965,6.9859,-1.9967,-0.35001,0.0
-3.1423,-13.0365,15.6773,-0.66165,1.0
1.8994,0.97462,4.2265,0.81377,0.0
3.4805,9.7008,-3.7541,-3.4379,0.0
-0.24811,-0.17797,4.9068,0.15429,0.0
1.6406,3.5488,1.3964,-0.36424,0.0
-1.3971,3.3191,-1.3927,-1.9948,1.0
-3.518,2.8763,0.1548,-1.2086,1.0
5.438,9.4669,-4.9417,-3.9202,0.0
4.0215,-2.7004,2.4957,0.36636,0.0
-1.3995,-1.9162,2.5154,0.59912,1.0
0.65497,5.1815,1.0673,-0.42113,0.0
-1.4217,11.6542,-0.057699,-7.1025,0.0
-4.3967,4.9601,-0.64892,-5.4719,1.0
-3.2051,-0.14279,0.97565,0.045675,1.0
-2.1668,1.5933,0.045122,-1.678,1.0
5.0214,8.0764,-3.0515,-1.7155,0.0
3.4566,9.5228,-4.0112,-3.5944,0.0
1.518,5.6946,0.094818,-0.026738,0.0
-4.4775,-13.0303,17.0834,-3.0345,1.0
0.66365,-0.045533,-0.18794,0.23447,1.0
-4.0679,2.4955,0.79571,-1.1039,1.0
0.96708,3.8426,-4.9314,-4.1323,1.0
-0.8471,3.1329,-3.0112,-2.9388,1.0
0.67886,4.1199,-4.569,-4.1414,1.0
-3.8167,5.1401,-0.65063,-5.4306,1.0
3.2303,7.8384,-3.5348,-1.2151,0.0
1.1811,8.3847,-2.0567,-0.90345,0.0
3.359,9.8022,-3.8209,-3.7133,0.0
2.9499,2.2493,1.3458,-0.037083,0.0
0.29961,7.1328,-0.31475,-1.1828,0.0
1.9429,6.3961,0.092248,0.58102,0.0
1.3451,0.23589,-1.8785,1.3258,1.0
-0.38388,-1.0471,8.0514,0.49567,0.0
-1.4375,-1.8624,4.026,0.55127,1.0
1.1588,8.9331,-2.0807,-1.1272,0.0
-2.6479,10.1374,-1.331,-5.4707,0.0
1.105,7.4432,0.41099,-3.0332,0.0
3.4465,2.9508,1.0271,0.5461,0.0
-4.0214,-12.8006,15.6199,-0.95647,1.0
0.75108,1.9161,-3.1098,-0.20518,1.0
4.6054,-4.0765,2.7587,0.31981,0.0
-2.0046,-0.49457,1.333,1.6543,1.0
-3.5713,-12.4922,14.8881,-0.47027,1.0
3.5156,10.1891,-4.2759,-4.978,0.0
-2.0336,-1.4092,1.1582,0.36507,1.0
1.0182,9.109,-0.62064,-1.7129,0.0
-0.8734,1.6533,-2.1964,-0.78061,1.0
0.30081,0.17381,-1.7542,0.48921,1.0
-2.2987,-5.227,5.63,0.91722,1.0
-4.1244,3.7909,-0.6532,-4.1802,1.0
-0.95923,-6.7128,4.9857,0.32886,1.0
-2.2804,-0.30626,1.3347,1.3763,1.0
-0.88728,2.808,-3.1432,-1.2035,1.0
-7.0421,9.2,0.25933,-4.6832,1.0
-2.799,1.9679,-0.42357,-2.1125,1.0
-3.3553,0.35591,2.6473,-0.37846,1.0
-2.5665,-6.8824,7.5416,0.70774,1.0
2.6946,6.7976,-0.40301,0.44912,0.0
-2.9146,4.0537,-0.45699,-4.0327,1.0
1.7452,4.8028,2.0878,0.62627,0.0
3.866,-2.6383,1.9242,0.10645,0.0
3.5912,3.0129,0.72888,0.56421,0.0
5.0297,-4.9704,3.5025,-0.23751,0.0
-2.3797,-1.4402,1.1273,0.16076,1.0
-1.6662,-0.30005,1.4238,0.024986,1.0
0.11592,3.2219,-3.4302,-2.8457,1.0
6.0919,2.9673,-1.3267,1.4551,0.0
2.6104,8.0081,-0.23592,-1.7608,0.0
-0.38214,8.3909,2.1624,-3.7405,0.0
-5.0477,-5.8023,11.244,-0.3901,1.0
5.1213,8.5565,-3.3917,-1.5474,0.0
-1.979,3.2301,-1.3575,-2.5819,1.0
-0.24037,-1.7837,2.135,1.2418,1.0
-4.0025,-13.4979,17.6772,-3.3202,1.0
-2.62,-6.8555,6.2169,-0.62285,1.0
3.0934,-2.9177,2.2232,0.22283,0.0
0.7057,-5.4981,8.3368,-2.8715,0.0
3.966,3.9213,0.70574,0.33662,0.0
-0.7869,9.5663,-3.7867,-7.5034,0.0
2.3136,10.6651,-3.5288,-4.7672,0.0
-4.2859,8.5234,3.1392,-0.91639,0.0
4.8265,0.80287,1.6371,1.1875,0.0
2.4673,1.3926,1.7125,0.41421,0.0
0.68087,2.3259,4.9085,0.54998,0.0
3.4642,10.6878,-3.4071,-4.109,0.0
-2.6479,10.1374,-1.331,-5.4707,0.0
0.56953,7.6294,1.5754,-3.2233,0.0
4.7181,10.0153,-3.9486,-3.8582,0.0
-0.3481,-0.38696,-0.47841,0.62627,1.0
-2.2214,-0.23798,0.56008,0.05602,1.0
-0.7869,9.5663,-3.7867,-7.5034,0.0
-0.50816,2.868,-1.8108,-2.2612,1.0
2.1319,-2.0403,2.5574,-0.061652,0.0
-1.4446,2.1438,-0.47241,-1.6677,1.0
-0.45062,-1.3678,7.0858,-0.40303,0.0
1.7257,-4.4697,8.2219,-1.8073,0.0
0.045304,6.7334,1.0708,-0.9332,0.0
-2.6989,12.1984,0.67661,-8.5482,0.0
3.5862,-3.0957,2.8093,0.24481,0.0
-6.9599,8.9931,0.2182,-4.572,1.0
-0.24745,1.9368,-2.4697,-0.80518,1.0
2.888,0.44696,4.5907,-0.24398,0.0
4.3064,8.2068,-2.7824,-1.4336,0.0
1.5268,-5.5871,8.6564,-1.722,0.0
-2.341,12.3784,0.70403,-7.5836,0.0
0.20977,-0.46146,7.7267,0.90946,0.0
-2.3242,11.5176,1.8231,-5.375,0.0
3.4669,6.87,-1.0568,-0.73147,0.0
3.7321,-3.884,3.3577,-0.0060486,0.0
3.7022,6.9942,-1.8511,-0.12889,0.0
-0.69572,8.6165,1.8419,-4.3289,0.0
3.9922,-4.4676,3.7304,-0.1095,0.0
-1.4106,-7.108,5.6454,0.31335,1.0
-4.0218,-8.304,12.555,-1.5099,1.0
0.83292,7.5404,0.65005,-0.92544,0.0
-0.95403,1.9824,-2.3163,-1.1957,1.0
3.1452,5.825,-0.51439,-1.4944,0.0
4.1038,-4.8069,3.3491,-0.49225,0.0
-1.522,-6.6383,5.7491,-0.10691,1.0
-0.77848,3.4019,-3.4859,-3.5569,1.0
2.5559,3.3605,2.0321,0.26809,0.0
-3.0061,-12.2377,11.9552,-2.1603,1.0
2.9421,7.4101,-0.97709,-0.88406,0.0
5.032,8.2026,-2.6256,-1.0341,0.0
-1.2568,-1.4733,2.8718,0.44653,1.0
2.8033,9.0862,-3.3668,-1.0224,0.0
-1.0555,0.79459,-1.6968,-0.46768,1.0
-1.7713,-10.7665,10.2184,-1.0043,1.0
3.6667,4.302,0.55923,0.33791,0.0
6.8248,5.2187,-2.5425,0.5461,0.0
0.94732,-0.57113,7.1903,-0.67587,0.0
4.1927,-3.2674,2.5839,0.21766,0.0
0.3798,0.7098,0.7572,-0.4444,0.0
1.6032,-4.7863,8.5193,-2.1203,0.0
0.84546,3.4826,-3.6307,-1.3961,1.0
3.5251,0.7201,1.6928,0.64438,0.0
3.9294,1.4112,1.8076,0.89782,0.0
2.1616,-6.8804,8.1517,-0.081048,0.0
-3.7181,-8.5089,12.363,-0.95518,1.0
-0.69745,-1.7672,-0.34474,-0.12372,1.0
5.1129,-0.49871,0.62863,1.1189,0.0
-1.239,-6.541,4.8151,-0.033204,1.0
0.030219,-1.0512,1.4024,0.77369,1.0
0.26877,4.987,-5.1508,-6.3913,1.0
-2.3211,3.166,-1.0002,-2.7151,1.0
-4.1958,-8.1819,12.1291,-1.6017,1.0
1.6849,8.7489,-1.2641,-1.3858,0.0
-3.3203,-0.02691,2.9618,-0.44958,1.0
-3.5985,-13.6593,17.6052,-2.4927,1.0
-2.2527,11.5321,2.5899,-3.2737,0.0
2.0466,2.03,2.1761,-0.083634,0.0
-2.4621,2.7645,-0.62578,-2.8573,1.0
1.5631,0.89599,-1.9702,0.65472,1.0
1.0284,9.767,-1.3687,-1.7853,0.0
-2.3142,2.0838,-0.46813,-1.6767,1.0
-2.6864,-0.097265,0.61663,0.061192,1.0
1.0135,8.4551,-1.672,-2.0815,0.0
1.6799,4.2068,-4.5398,-2.3931,1.0
1.2198,2.0982,-3.1954,0.12843,1.0
4.1373,0.49248,1.093,1.8276,0.0
3.2718,1.7837,2.1161,0.61334,0.0
4.65,-4.8297,3.4553,-0.25174,0.0
-0.96511,9.4111,1.7305,-4.8629,0.0
-0.46651,2.3383,-2.9812,-1.0431,1.0
3.9364,10.5885,-3.725,-4.3133,0.0
3.1887,-3.4143,2.7742,-0.2026,0.0
-5.8818,7.6584,0.5558,-2.9155,1.0
2.3969,0.23589,4.8477,1.437,0.0
-1.8629,-0.84841,2.5377,0.097399,1.0
0.049175,6.1437,1.7828,-0.72113,0.0
3.245,6.63,-0.63435,0.86937,0.0
-0.55648,3.2136,-3.3085,-2.7965,1.0
5.0185,8.5978,-2.9375,-1.281,0.0
0.64215,3.1287,4.2933,0.64696,0.0
-4.211,-12.4736,14.9704,-1.3884,1.0
-0.092194,0.39315,-0.32846,-0.13794,1.0
0.3798,0.7098,0.7572,-0.4444,0.0
3.0333,-2.5928,2.3183,0.303,0.0
-4.2091,4.7283,-0.49126,-5.2159,1.0
-4.3667,6.0692,0.57208,-5.4668,1.0
0.3798,0.7098,0.7572,-0.4444,0.0
-2.0149,3.6874,-1.9385,-3.8918,1.0
-1.8219,-6.8824,5.4681,0.057313,1.0
0.22432,-0.52147,-0.40386,1.2017,1.0
4.2027,0.22761,0.96108,0.97282,0.0
3.4092,5.4049,-2.5228,-0.89958,0.0
0.49571,10.2243,-1.097,-4.0159,0.0
-0.3489,3.1929,-3.4054,-3.1832,1.0
4.2586,11.2962,-4.0943,-4.3457,0.0
4.068,-2.9363,2.1992,0.50084,0.0
-5.2406,6.6258,-0.19908,-6.8607,1.0
3.9994,0.90427,1.1693,1.6892,0.0
4.6464,10.5326,-4.5852,-4.206,0.0
0.5195,-3.2633,3.0895,-0.9849,0.0
-5.3012,7.3915,0.029699,-7.3987,1.0
1.9105,8.871,-2.3386,-0.75604,0.0
2.8969,0.70768,2.29,1.8663,0.0
-2.3898,-0.78427,3.0141,0.76205,1.0
4.5691,-4.4552,3.1769,0.0042961,0.0
-0.72068,-6.7583,5.8408,0.62369,1.0
1.5356,9.1772,-2.2718,-0.73535,0.0
3.9414,-3.2902,3.1674,1.0866,0.0
4.1425,-3.6792,3.8281,1.6297,0.0
-2.7914,1.7734,6.7756,-0.39915,0.0
3.7982,10.423,-4.1602,-4.9728,0.0
0.91315,3.3377,-4.0557,-1.6741,1.0
0.7376,4.8525,-4.7986,-5.6659,1.0
4.0405,0.51524,1.0279,1.106,0.0
0.96574,8.393,-1.361,-1.4659,0.0
-0.87834,3.257,-3.6778,-3.2944,1.0
3.8481,10.1539,-3.8561,-4.2228,0.0
1.2999,2.5762,2.0107,-0.18967,0.0
-1.4377,-1.432,2.1144,0.42067,1.0
4.2475,1.4816,-0.48355,0.95343,0.0
3.6582,5.6864,-1.7157,-0.23751,0.0
-0.97325,-6.4168,5.6026,1.0323,1.0
3.6077,6.8576,-1.1622,0.28231,0.0
-2.6685,-10.4519,9.1139,-1.7323,1.0
0.50225,0.65388,-1.1793,0.39998,1.0
-2.9498,-8.273,10.2646,1.1629,1.0
0.38478,6.5989,-0.3336,-0.56466,0.0
-4.5046,-5.8126,10.8867,-0.52846,1.0
2.0922,-6.81,8.4636,-0.60216,0.0
5.2012,0.32694,0.17965,1.1797,0.0
-0.048008,-0.56078,7.7215,0.453,0.0
-2.6286,0.18002,1.7956,0.97282,1.0
3.2051,8.6889,-2.9033,-0.7819,0.0
1.6988,2.9094,2.9044,0.11033,0.0
1.7425,3.6833,-4.0129,-1.7207,1.0
-0.30432,2.6528,-2.7756,-0.65647,1.0
0.75896,0.29176,-1.6506,0.83834,1.0
3.744,0.79459,0.95851,1.0077,0.0
-0.27068,3.2674,-3.5562,-3.0888,1.0
0.74307,11.17,-1.3824,-4.0728,0.0
-0.036127,1.525,-1.4089,-0.76121,1.0
-0.61442,-0.091058,-0.31818,0.50214,1.0
4.1736,3.3336,-1.4244,0.60429,0.0
1.2746,8.8172,-1.5323,-1.7957,0.0
-1.9389,1.5706,0.045979,-1.122,1.0
0.0096613,3.5612,-4.407,-4.4103,1.0
-2.3299,-9.9532,8.4756,-1.8733,1.0
-5.2943,-5.1463,10.3332,-1.1181,1.0
3.4359,0.66216,2.1041,1.8922,0.0
3.3583,10.3567,-3.7301,-3.6991,0.0
-3.3793,-13.7731,17.9274,-2.0323,1.0
0.5706,-0.0248,1.2421,-0.5621,0.0
1.4501,3.6067,-4.0557,-1.5966,1.0
3.1219,-3.137,1.9259,-0.37458,0.0
-0.83121,0.039307,0.05369,-0.23105,1.0
2.614,8.0081,-3.7258,-1.3069,0.0
1.1317,3.9647,3.3979,0.84351,0.0
3.6277,0.9829,0.68861,0.63403,0.0
-1.6677,-7.1535,7.8929,0.96765,1.0
0.51947,-3.2633,3.0895,-0.98492,0.0
-2.3147,3.6668,-0.6969,-1.2474,1.0
0.55298,-3.4619,1.7048,1.1008,1.0
0.01727,8.693,1.3989,-3.9668,0.0
0.4339,5.5395,2.033,-0.40432,0.0
-2.9915,-6.6258,8.6521,1.8198,1.0
4.223,1.1319,0.72202,0.96118,0.0
-1.2424,-1.7175,-0.52553,-0.21036,1.0
4.6014,5.6264,-2.1235,0.19309,0.0
-4.9447,3.3005,1.063,-1.444,1.0
2.8297,6.3485,-0.73546,-0.58665,0.0
-1.8439,-8.6475,7.6796,-0.66682,1.0
3.3299,0.91254,1.5806,0.39352,0.0
-2.4953,11.1472,1.9353,-3.4638,0.0
3.6216,8.6661,-2.8073,-0.44699,0.0
2.7161,-4.2006,4.1914,0.16981,0.0
-3.5933,0.22968,0.7126,-0.3332,1.0
3.8213,0.23175,2.0133,2.0564,0.0
-1.7549,-0.080711,-0.75774,-0.3707,1.0
-1.7976,-6.7686,6.6753,0.89912,1.0
-1.4233,-0.98912,2.3586,0.39481,1.0
-2.9662,-10.3257,8.784,-2.1138,1.0
-1.5449,-10.1498,9.6152,-1.2332,1.0
-3.2238,2.7935,0.32274,-0.86078,1.0
-1.6952,1.0657,8.8294,0.94955,0.0
3.6922,-3.9585,4.3439,1.3517,0.0
2.994,7.2011,-1.2153,0.3211,0.0
-1.2369,-1.6906,2.518,0.51636,1.0
5.7227,5.8312,-2.4097,-0.24527,0.0
4.0962,10.1891,-3.9323,-4.1827,0.0
1.4806,7.6377,-2.7876,-1.0341,0.0
-1.2943,2.6735,-0.84085,-2.0323,1.0
-0.11783,-1.5789,8.03,-0.028031,0.0
-3.8826,4.898,-0.92311,-5.0801,1.0
1.9818,9.2621,-3.521,-1.872,0.0
0.57461,10.1105,-1.6917,-4.3922,0.0
0.12326,8.9848,-0.9351,-2.4332,0.0
5.1302,8.6703,-2.8913,-1.5086,0.0
0.3292,-4.4552,4.5718,-0.9888,0.0
0.25943,5.0097,-5.0394,-6.3862,1.0
-0.16108,-6.4624,8.3573,-1.5216,0.0
-4.1479,7.1225,-0.083404,-6.4172,1.0
-3.5359,0.30417,0.6569,-0.2957,1.0
0.88444,6.5906,0.55837,-0.44182,0.0
-4.8861,7.0542,-0.17252,-6.959,1.0
5.7823,5.5788,-2.4089,-0.056479,0.0
-0.12624,10.3216,-3.7121,-6.1185,0.0
-0.89809,-4.4862,2.2009,0.50731,1.0
0.96414,5.616,2.2138,-0.12501,0.0
-1.1497,1.2954,7.701,0.62627,0.0
4.8851,1.5995,-0.00029081,1.6401,0.0
6.5633,9.8187,-4.4113,-3.2258,0.0
-2.3983,12.606,2.9464,-5.7888,0.0
4.8272,3.0687,0.68604,0.80731,0.0
-6.7387,6.9879,0.67833,-7.5887,1.0
-5.0676,-5.1877,10.4266,-0.86725,1.0
-0.98193,2.7956,-1.2341,-1.5668,1.0
0.11739,6.2761,-1.5495,-2.4746,0.0
-1.7063,2.7956,-2.378,-2.3491,1.0
4.6439,-3.3729,2.5976,0.55257,0.0
-1.1193,10.7271,2.0938,-5.6504,0.0
4.2406,-2.4852,1.608,0.7155,0.0
-0.29858,2.4769,-2.9512,-0.66165,1.0
-0.81479,-5.7381,4.3919,0.3211,1.0
3.0632,-3.3315,5.1305,0.8267,0.0
4.1654,-3.4495,3.643,1.0879,0.0
0.33325,3.3108,-4.5081,-4.012,1.0
1.4276,8.3847,-2.0995,-1.9677,0.0
-2.8829,3.8964,-0.1888,-1.1672,1.0
-0.278,8.1881,-3.1338,-2.5276,0.0
2.7296,2.8701,0.51124,0.5099,0.0
-2.7143,11.4535,2.1092,-3.9629,0.0
4.1962,0.74493,0.83256,0.753,0.0
0.17346,7.8695,0.26876,-3.7883,0.0
2.0139,6.1416,0.37929,0.56938,0.0
-5.1661,8.0433,0.044265,-4.4983,1.0
-1.7697,3.4329,-1.2144,-2.3789,1.0
-2.3629,-0.10554,1.9336,1.1358,1.0
-1.2537,10.8803,1.931,-4.3237,0.0
-0.2062,9.2207,-3.7044,-6.8103,0.0
3.9771,11.1513,-3.9272,-4.3444,0.0
3.106,9.5414,-4.2536,-4.003,0.0
4.5679,3.1929,-2.1055,0.29653,0.0
4.3435,3.3295,0.83598,0.64955,0.0
-0.83535,0.80494,-1.6411,-0.19225,1.0
-2.5526,-7.3625,6.9255,-0.66811,1.0
-0.49281,3.0605,-1.8356,-2.834,1.0
0.96788,7.1907,1.2798,-2.4565,0.0
4.5707,7.2094,-3.2794,-1.4944,0.0
4.4338,9.887,-4.6795,-3.7483,0.0
-2.1405,-0.16762,1.321,-0.20906,1.0
-3.8053,2.4273,0.6809,-1.0871,1.0
-0.60254,1.7237,-2.1501,-0.77027,1.0
-1.5951,-6.572,4.7689,-0.94354,1.0
3.5189,6.332,-1.7791,-0.020273,0.0
2.565,8.633,-2.9941,-1.3082,0.0
-2.4349,-9.2497,8.9922,-0.50001,1.0
3.8117,10.1457,-4.0463,-4.5629,0.0
2.7961,2.121,1.8385,0.38317,0.0
2.9856,7.2673,-0.409,-2.2431,0.0
-3.5798,0.45937,2.3457,-0.45734,1.0
1.602,6.1251,0.52924,0.47886,0.0
2.483,6.6155,-0.79287,-0.90863,0.0
-1.48,-10.5244,9.9176,-0.5026,1.0
2.2596,-0.033118,4.7355,-0.2776,0.0
1.3349,6.1189,0.46497,0.49826,0.0
1.2616,4.4303,-1.3335,-1.7517,0.0
-0.36372,3.0439,-3.4816,-2.7836,1.0
0.19081,9.1297,-3.725,-5.8224,0.0
1.4479,-4.8794,8.3428,-2.1086,0.0
-0.70346,2.957,-3.5947,-3.1457,1.0
-1.786,-8.1157,7.0858,-1.2112,1.0
-1.1804,11.5093,0.15565,-6.8194,0.0
-4.4861,-13.2889,17.3087,-3.2194,1.0
3.1836,7.2321,-1.0713,-2.5909,0.0
0.49665,5.527,1.7785,-0.47156,0.0
4.4072,-0.070365,2.0416,1.1319,0.0
-3.8952,3.8157,-0.31304,-3.8194,1.0
-3.9933,2.6218,0.62863,-1.1595,1.0
0.89566,7.7763,-2.7473,-1.9353,0.0
-3.6012,-6.5389,10.5234,-0.48967,1.0
0.74054,0.36625,2.1992,0.48403,0.0
3.4985,3.1639,0.22677,-0.1651,0.0
-1.005,0.084831,-0.2462,0.45688,1.0
2.6881,6.0195,-0.46641,-0.69268,0.0
3.5358,6.7086,-0.81857,0.47886,0.0
0.61652,3.8944,-4.7275,-4.3948,1.0
2.9736,8.7944,-3.6359,-1.3754,0.0
-0.23356,3.2405,-3.0669,-2.7784,1.0
-3.0866,-6.6362,10.5405,-0.89182,1.0
3.4647,-3.9172,3.9746,0.36119,0.0
0.40614,1.3492,-1.4501,-0.55949,1.0
2.6213,5.7919,0.065686,-1.5759,0.0
0.92703,9.4318,-0.66263,-1.6728,0.0
3.9663,10.1684,-4.1131,-4.6056,0.0
2.0007,1.8644,2.6491,0.47369,0.0
-4.4996,3.4288,0.56265,-1.1672,1.0
3.7831,10.0526,-3.8869,-3.7366,0.0
-0.16682,5.8974,0.49839,-0.70044,0.0
3.2414,0.40971,1.4015,1.1952,0.0
-0.21888,-2.2038,-0.0954,0.56421,1.0
0.37984,0.70975,0.75716,-0.44441,0.0
1.9572,-5.1153,8.6127,-1.4297,0.0
0.58836,10.7727,-1.3884,-4.3276,0.0
3.7767,9.7794,-3.9075,-3.5323,0.0
4.4069,10.9072,-4.5775,-4.4271,0.0
0.15423,0.11794,-1.6823,0.59524,1.0
-1.6001,-9.5828,9.4044,0.081882,1.0
